"Predictor","Coeficiente","Coef_Absoluto"
"v42",-1104631.62244079,1104631.62244079
"v08",-895226.154242669,895226.154242669
"v28",858340.032556275,858340.032556275
"v34",813750.446717095,813750.446717095
"v01",-803069.590289595,803069.590289595
"v56",783119.751497404,783119.751497404
"v03",-757326.048200324,757326.048200324
"v04",724114.457992631,724114.457992631
"v43",678072.176755012,678072.176755012
"v06",625655.564049233,625655.564049233
"v16",580465.128022962,580465.128022962
"v12",578606.876494497,578606.876494497
"v55",-557535.20418742,557535.20418742
"v07",517530.113219586,517530.113219586
"v31",503892.169222305,503892.169222305
"v39",-442023.300534933,442023.300534933
"v23",379942.718507913,379942.718507913
"v00",364475.449261509,364475.449261509
"v36",360400.278544882,360400.278544882
"v52",325483.784313502,325483.784313502
"v44",-315123.32550314,315123.32550314
"v53",-303630.057447848,303630.057447848
"v18",-284897.485562406,284897.485562406
"v59",-281662.893238124,281662.893238124
"v27",276248.339397344,276248.339397344
"v19",264221.165706537,264221.165706537
"v15",258689.404624992,258689.404624992
"v60",-248946.449513223,248946.449513223
"v46",-217272.265285261,217272.265285261
"v63",215144.323910854,215144.323910854
"v09",212209.473456633,212209.473456633
"v47",-203522.551316848,203522.551316848
"v35",191542.656258291,191542.656258291
"v30",-186592.4875729,186592.4875729
"v45",-181662.474971142,181662.474971142
"v10",-174408.422040204,174408.422040204
"v32",-167567.813990027,167567.813990027
"v14",155236.872390762,155236.872390762
"v49",149802.863818864,149802.863818864
"v57",149055.273711103,149055.273711103
"v51",146842.628789499,146842.628789499
"v26",-138368.625248762,138368.625248762
"v33",134280.009262293,134280.009262293
"v13",129850.659340669,129850.659340669
"v02",129044.572968143,129044.572968143
"v38",123638.015423792,123638.015423792
"v05",-110671.372686474,110671.372686474
"v41",-108509.775327722,108509.775327722
"v11",-102082.864615759,102082.864615759
"v25",-96027.1638279727,96027.1638279727
"v58",-94748.5849516356,94748.5849516356
"v21",93044.3685434779,93044.3685434779
"v40",-91996.9308101489,91996.9308101489
"v54",85372.0291873095,85372.0291873095
"v20",-71287.0895519633,71287.0895519633
"v37",68555.3932531137,68555.3932531137
"v17",-39830.2250840286,39830.2250840286
"v22",-30475.7020155678,30475.7020155678
"v29",21755.2757643674,21755.2757643674
"v62",-21038.9097843598,21038.9097843598
"v61",-20197.4954516637,20197.4954516637
"v24",-18912.0965805626,18912.0965805626
"v50",-8531.32254271466,8531.32254271466
"z62",6212.77415009195,6212.77415009195
"z03",-5958.21698101185,5958.21698101185
"z40",-5944.40952424059,5944.40952424059
"z15",5403.27975960508,5403.27975960508
"z63",5276.44433062742,5276.44433062742
"z51",5192.87683506973,5192.87683506973
"z00",-5004.84974913018,5004.84974913018
"z54",-4725.28241062235,4725.28241062235
"z04",4256.95367767089,4256.95367767089
"z23",4218.89062314677,4218.89062314677
"z39",4194.03975670475,4194.03975670475
"z12",-3898.38047035227,3898.38047035227
"z24",-3879.80272967359,3879.80272967359
"z30",3780.58567947742,3780.58567947742
"z45",3508.97659926384,3508.97659926384
"z18",3298.49161869036,3298.49161869036
"z13",-3132.42988701704,3132.42988701704
"z06",3079.48442309557,3079.48442309557
"z46",3009.18233199772,3009.18233199772
"z61",-2989.94309355231,2989.94309355231
"z16",2968.5870097855,2968.5870097855
"z44",-2783.89630483063,2783.89630483063
"z57",2577.603524204,2577.603524204
"z41",-2505.08459027495,2505.08459027495
"z53",-2439.26833926727,2439.26833926727
"z42",2393.37741907208,2393.37741907208
"z29",2380.65589614871,2380.65589614871
"z11",-2296.20276675354,2296.20276675354
"z21",-2208.29625951813,2208.29625951813
"z37",-2128.2805366571,2128.2805366571
"z08",2045.04310462369,2045.04310462369
"z19",1980.93838589116,1980.93838589116
"z35",-1974.55696153339,1974.55696153339
"z34",1921.11882869631,1921.11882869631
"v48",1905.12579320212,1905.12579320212
"z52",-1902.86873570325,1902.86873570325
"z22",-1861.32344104009,1861.32344104009
"z27",1859.34785850438,1859.34785850438
"z26",1709.76225558252,1709.76225558252
"z36",-1680.04810813286,1680.04810813286
"z59",-1657.8164324073,1657.8164324073
"z14",-1562.90538340872,1562.90538340872
"z49",1499.61451329102,1499.61451329102
"z28",1489.60438963317,1489.60438963317
"z25",1370.35724047691,1370.35724047691
"z33",1309.60702155521,1309.60702155521
"z60",-1293.44671244884,1293.44671244884
"z17",-1235.14627116625,1235.14627116625
"z47",-1209.26932146376,1209.26932146376
"z50",-1182.36343853859,1182.36343853859
"z38",942.881630151663,942.881630151663
"z43",841.861447979128,841.861447979128
"z20",794.000453522454,794.000453522454
"z48",-761.381213761846,761.381213761846
"z02",-525.447516034697,525.447516034697
"z10",405.75368624042,405.75368624042
"z55",-326.909171476612,326.909171476612
"z01",-310.158272996356,310.158272996356
"z09",309.422193341466,309.422193341466
"z58",269.086888993982,269.086888993982
"z56",204.835440795468,204.835440795468
"z05",93.9163612011937,93.9163612011937
"z31",-88.4882128087884,88.4882128087884
"z32",84.1109275410548,84.1109275410548
"z07",-72.069882638312,72.069882638312
